stockname,PE,MCap,AvgVol
HDFC,20.722406,22055.4,141927
ASSAMCO,181.81818,18.58565888,594773
BALRAMCHIN,27.172838,269.6093082,332506
EXIDEIND,23.112196,1649.42,361021
CIPLA,31.979668,4801.83,191341
DABUR,41.5113,5163.29,91232
ARVIND,23.828346,863.951913,220342
IFCI,13.073394,473.6814285,879045
MRPL,22.024689,1563.32,262054
CHENNPETRO,5.964598,446.5840947,329312
RELCAPITAL,13.080808,1439.5,515154
TITAN,51.97682,3583.1,98169
EIDPARRY,316.13922,439.185367,76642
GANESHBE,4.2741933,20.58425984,161067
GHCL,9.821428,253.0480742,187983
HDFCBANK,25.67675,32613.6,104314
HFCL,16.632652,202.0189184,977178
HINDOILEXP,88.60655,70.53146624,365519
HINDZINC,12.633111,9173.17,178353
INFY,1181.6815,24253.9,310202
JCTLTD,61.777775,33.25580544,969680
KIRLFER,20.17836,116.5058355,245011
KOTAKBANK,36.71335,14727.5,171469
LICHSGFIN,17.352497,2894.24,301296
LUPIN,27.042473,6957.73,101003
SPICEJET,12.160853,376.1548493,4926699
MOREPENLAB,84.82143,84.63170048,411238
ONGC,15.384615,21730.9,702484
SURYAROSNI,14.350283,88.9743872,73929
PRISMCEM,1547.857,545.3872742,95497
RAIN,9.147047,159.4280038,198778
ROLTA,5.4690266,100.5510758,143415
RELINFRA,7.927544,1565.32,399150
TATAPOWER,28.058607,2071.75,485052
SUNDRMFAST,52.22222,641.9410534,75382
HINDALCO,113.385826,2973.59,1251935
PASUPTAC,9.851191,29.50305536,231905
ASHOKLEY,22.474749,2406.19,1467357
BHARATFORG,32.35136,2102.71,123652
ESCORTS,53.89319,415.2837734,598440
BPCL,5.3161807,4243.06,206149
TATAMOTORS,16.97176,18795.1,916297
VOLTAS,33.55794,1293.59,131043
GNFC,11.144378,260.3268301,171861
GSFC,7.587448,293.8775347,176364
NOCIL,14.230769,110.0587008,538774
TATACHEM,18.086218,1410.84,109986
ASIANPAINT,61.73458,11159.8,88951
ITC,31.531694,31160.8,923587
APOLLOTYRE,10.305078,1126.22,399174
CENTRUM,34.583332,120.8575795,224115
SAURASHCEM,10.479361,40.28739328,104049
SINTEX,5.866667,371.7090099,715062
KESORAMIND,12.389913,181.4737715,159537
TINPLATE,12.275321,90.06682112,294086
SETCO,25.228573,58.98307584,156915
MONOT,393.52942,235.1943066,169339
ELECON,17.360321,66.34202624,70499
GRAUWEIL,18.998922,80.02721792,257809
GABRIEL,22.756777,171.2236442,118114
VIVIDHA,336.66666,4.97325984,1341838
KANANIIND,147.89474,27.80045312,76265
BLISSGVS,19.0625,157.2991795,104867
ALEMBICLTD,4.4278545,103.7419315,70084
DEEPAKNI,20.723572,140.8829133,85636
RANASUG,9.899082,16.56998656,1004692
WIPRO,13.300111,11798.1,373306
SREERAYA,6.584967,16.69709568,228587
VIPIND,24.995087,179.7552128,82278
STEERINTER,1.2172285,5.29235872,174100
INDINFO,94.99999,1.906536,721084
BERGEPAINT,62.06734,2560.24,79443
SUNTECK,9.385477,152.7638938,78986
SHALPRO,490,4.82320736,805991
DONEAR,51.71296,29.04199936,153989
BHANDHOS,13.668122,4.58629536,265797
TATASPONGE,30.50374,94.1863936,92169
ORICON,58.99602,93.20798208,147178
BALASORE,8.940001,15.84400512,87117
CARBORUNIV,34.438843,514.5695846,402196
TATAMETALI,9.386232,105.6532582,270120
ANANTRAJ,28.863636,168.6473728,415284
MOTHERSUMI,33.265835,4237.4,290303
HAVELLS,21.344425,2581.1,98071
MARSONS,39.78125,1.49577488,127128
STARLITE,57.75,7.90020032,93329
JVLAGRO,4.315789,27.54215936,151499
RICOAUTO,30.022934,88.54402048,376689
PRAJIND,22.731956,157.0383258,255155
SHRENUJ,1.3473054,4.34040768,1205936
MAWANASUG,381.90182,24.34952448,72347
RIIL,41.470097,67.42904832,132231
SCI,8.771605,330.9502054,155216
ITI,3.6936939,82.656,116758
SREINFRA,51.319443,371.780567,327100
