"stockname","code"
"ACIASIA",532919
"ADANIPOWER",533096
"AKSHOPTFBR",532351
"ALEMBICLTD",506235
"ANANTRAJ",515055
"ANDHRABANK",532418
"ANDREWYU",526173
"APOLLOTYRE",500877
"AREYDRG",524412
"ARVIND",500101
"ASHOKLEY",500477
"ASIANPAINT",500820
"ASSAMCO",500024
"ATHARVENT",530187
"AXISBANK",532215
"BALASORE",513142
"BALRAMCHIN",500038
"BAMPSL",531591
"BASANTGL",524687
"BERGEPAINT",509480
"BERLDRG",524606
"BHANDHOS",512608
"BHARATFORG",500493
"BHARTIARTL",532454
"BIOCON",532523
"BLISSGVS",506197
"BODALCHEM",524370
"BPCL",500547
"CADILAHC",532321
"CARBORUNIV",513375
"CELEBRITY",532695
"CENTRUM",501150
"CHENNPETRO",500110
"CHLOGIST",531977
"CIPLA",500087
"CONFIPET",526829
"DABUR",500096
"DEEPAKNI",506401
"DELTACORP",532848
"DISHMAN",532526
"DISHTV",532839
"DLF",532868
"DONEAR",512519
"DWARKESH",532610
"EDELWEISS",532922
"EIDPARRY",500125
"ELECON",505700
"ESCORTS",500495
"EXIDEIND",500086
"FSL",532809
"GABRIEL",505714
"GAEL",524226
"GAIL",532155
"GANESHBE",500153
"GATI",532345
"GENNEX",531739
"GHCL",500171
"GITANJALI",532715
"GNFC",500670
"GRANULES",532482
"GRAUWEIL",505710
"GSFC",500690
"HAVELLS",517354
"HCLTECH",532281
"HDFC",500010
"HDFCBANK",500180
"HDIL",532873
"HEXAWARE",532129
"HFCL",500183
"HINDALCO",500440
"HINDOILEXP",500186
"HINDZINC",500188
"IBREALEST",532832
"ICICIBANK",532174
"IDEA",532822
"IFCI",500106
"IGL",532514
"IKFTECH",532414
"INDIACEM",530005
"INDIANB",532814
"INDINFO",509051
"INDUSINDBK",532187
"INFY",500209
"IOC",530965
"IRB",532947
"ITC",500875
"ITI",523610
"JCTLTD",500223
"JETAIRWAYS",532617
"JKIL",532940
"JSWENERGY",533148
"JVLAGRO",519248
"KANANIIND",506184
"KCP",590066
"KCPSUGIND",533192
"KESORAMIND",502937
"KIRLFER",500245
"KMSUGAR",532673
"KOPRAN",524280
"KOTAKBANK",500247
"KTKBANK",532652
"KWALITY",531882
"LAKSHVILAS",534690
"LICHSGFIN",500253
"LINCOPH",531633
"LUPIN",500257
"MANDHANA",533204
"MANINFRA",533169
"MARKSANS",524404
"MARSONS",517467
"MARUTI",532500
"MAWANASUG",523371
"MBLINFRA",533152
"MEGASOFT",532408
"MEGH",532865
"MOHITIND",531453
"MONOT",505343
"MOREPENLAB",500288
"MOTHERSUMI",517334
"MRPL",500109
"NECLIFE",532649
"NHPC",533098
"NILA",530377
"NITINFIRE",532854
"NOCIL",500730
"NTPC",532555
"OIL",533106
"OMAXE",532880
"ONGC",500312
"ORICON",513121
"PASUPTAC",500456
"PETRONET",532522
"PFC",532810
"PFOCUS",532748
"POWERGRID",532898
"PRAJIND",522205
"PRATIBHA",532718
"PRICOL",526109
"PRISMCEM",500338
"PTC",532524
"RADICO",532497
"RAIN",500339
"RANASUG",507490
"RCF",524230
"RCOM",532712
"RECLTD",532955
"RELCAPITAL",500111
"RELINFRA",500390
"RICOAUTO",520008
"RIIL",523445
"RMCL",532692
"ROLTA",500366
"RPOWER",532939
"SAURASHCEM",502175
"SCI",523598
"SETCO",505075
"SHALPRO",512499
"SHIVACEM",532323
"SHRENUJ",523236
"SINTEX",502742
"SPICEJET",500285
"SREERAYA",507753
"SREINFRA",523756
"STARLITE",517548
"STEELXIND",534748
"STEERINTER",508998
"STOREONE",532679
"STRTECH",532374
"SUNDRMFAST",500403
"SUNILHITEC",532711
"SUNPHARMA",524715
"SUNTECK",512179
"SUNTV",532733
"SURATEX",530185
"SURYAROSNI",500336
"SUZLON",532667
"SYNCOM",533157
"TANLA",532790
"TATACHEM",500770
"TATACOFFEE",532301
"TATAMETALI",513434
"TATAMOTORS",500570
"TATAPOWER",500400
"TATASPONGE",513010
"TCS",532540
"TECHM",532755
"TINPLATE",504966
"TITAN",500114
"TVSMOTOR",532343
"UNIONBANK",532477
"URJAGLOBA",526987
"VIJAYABANK",532401
"VIPIND",507880
"VIVIDHA",506146
"VOLTAS",500575
"WIPRO",507685
"YESBANK",532648
