stockname,PE,MCap,AvgVol
ABB,77.69895,2.46004E+11,5871
AEGISLOG,0,0,0
AMARAJABAT,0,0,26424
AMBALALSA,-7.011494,467959040,52412
HDFC,20.722406,2.20554E+12,141927
ANDHRAPET,0,0,80936
ANSALAPI,0,0,35108
APPLEFIN,15.642858,121924096,10078
BOMDYEING,0,0,563717
ASIANHOTNR,0,0,9274
ASSAMCO,181.81818,1858565888,594773
ATUL,0,0,18100
ATVPR,5.114504,355886560,6750
AUTOLITIND,0,0,8997
AUTORIDFIN,0,0,816
BAJAJELEC,0,0,45800
BAJAJHIND,-7.991071,20290723840,737900
FORCEMOT,22.61538,40170655744,52770
BAJFINANCE,0,0,112646
BALRAMCHIN,27.172838,26960930816,332506
BANCOINDIA,0,0,111697
CENTURYTEX,-171.52591,99817136128,159474
BANARISUG,0,0,0
BASF,1114.903,49707016192,5253
BATAINDIA,0,0,53648
BEML,71.39608,37908987904,50360
BEL,21.363323,2.96352E+11,24759
BHAGGAS,-1.122807,10715008,1483
BEPL,20.643564,3459140096,56299
BHUSANSTL,0,0,96658
BIHSPONG,-3.0923078,181312848,4433
BINANIIND,0,0,78732
BIRLAERIC,0,0,17472
BLUESTARCO,0,0,12494
DISAQ,66.24875,7022430208,187
BNKCAP,9.88776,370000000,2707
BPL,-36.358383,3074853888,228741
CAMPHOR,11.929219,3279087104,3067
CENTEXT,0,0,41360
CESC,23.428003,80902307840,21754
CHAMBLFERT,0,0,94184
EXIDEIND,23.112196,1.64942E+11,361021
CIPLA,31.979668,4.80183E+11,191341
DICIND,0,0,925
CRISIL,49.85953,1.54237E+11,1881
CROMPGREAV,0,0,516987
DABUR,41.5113,5.16329E+11,91232
DALMIASUG,0,0,108050
ARVIND,23.828346,86395191296,220342
BALLARPUR,0,0,247103
BHEL,-40.23224,3.60409E+11,1011717
HINDPETRO,0,0,589841
IFCI,13.073394,47368142848,879045
MTNL,-0.6371321,12820500480,357901
MRPL,22.024689,1.56332E+11,262054
CHENNPETRO,5.964598,44658409472,329312
RELCAPITAL,13.080808,1.4395E+11,515154
SBIN,0,0,2357866
SAIL,-4.8658414,1.94733E+11,752023
TITAN,51.97682,3.5831E+11,98169
IDBI,-3.5419598,1.55544E+11,724665
DCW,-101.07143,6041888768,403467
DHAMPURSUG,0,0,294173
DIAMINESQ,160,391329600,2689
ELANTAS,27.295458,12721547264,2332
DRREDDY*,0,0,0
EIDPARRY,316.13922,43918536704,76642
MERCK,21.348381,11994726400,3504
ELECTCAST,0,0,149088
EMPEESUG,0,0,31160
ESABINDIA,31.432299,8907929600,534
ESSELPRO,18.992582,34593636352,8431
ESTER,0,0,34640
FEDDERLOYD,0,0,26946
FERROALL,-1.6515679,878170304,26886
FGP,-3.5686276,21649082,646
PHCAP,0.9893172,63902128,831
FINCABLES,19.947004,66199650304,12911
CMIFPE,14.689945,1927720960,1278
UFLEX,6.7532315,21125474304,64085
FOSECOIND,0,0,177
GOLDENTOBC,0,0,7204
GANESHBE,4.2741933,2058425984,161067
GARDENSILK,-0.951087,1325598720,38129
METROGLOBL,0,0,1501
GTL,-0.062526815,1834082944,68958
PARRYSUGAR,0,0,8070
GODFRYPHLP,42.177807,68574756864,40744
GODREJIND,29.147003,1.41099E+11,33229
KANSAINER,0,0,34011
GOODRICKE,0,0,45742
GOODYEAR,0,0,10909
GTNINDS,-4.8327136,228025200,6923
GHCL,9.821428,25304807424,187983
GUJFLUORO,15.061368,59317997568,17426
GLFL,-22.285713,42316248,1534
HCL-INSYS,0,0,0
HDFCBANK,25.67675,3.26136E+12,104314
HEROMOTOCO,0,0,26761
HFCL,16.632652,20201891840,977178
HCIL,0,0,859263
HCC,-9.522068,30424127488,2179059
HINDOILEXP,88.60655,7053146624,365519
HSIL,28.372564,23086518272,26514
HINDZINC,12.633111,9.17317E+11,178353
HINDUJAVEN,0,0,1183
HMT,-8.031249,29215117312,10982
PRAGBOS,-2.7214286,283399232,5739
HOTELEELA,-4.6761656,8422274048,66195
IGPL,0,0,27949
INDIAGLYCO,0,0,44453
INDLEASE,266.6667,117602400,60
MARGOFIN,0,0,1026
INDORAMA,0,0,78319
INFY,1181.6815,2.42539E+12,310202
INGERRAND,0,0,3303
INSILCO,91.458336,1376594304,20778
IFSL,6.3257575,150300000,59
ITHL,13.396401,1726412288,12559
IONEXCHANG,0,0,10156
ATFL,0,0,6887
JISLJALEQS,0,0,865151
JASCH,13.449614,393151008,4102
JCTEL,0,0,0
JCTLTD,61.777775,3325580544,969680
JINDALPOLY,0,0,14381
JSWSTEEL,0,0,73543
UMANGDAIR,19.134897,1435708800,10904
KAJARIACER,0,0,7392
KAKATCEM,0,0,30488
KSL,0,0,192932
KANELIND,0,0,1820
WHIRLPOOL,49.238464,1.21816E+11,3694
KGDENIM,10.433417,2130556416,35970
KINETICENG,0,0,7734
KIRLOSBROS,0,0,45260
KIRLOSIND,0,0,575
KIRLFER,20.17836,11650583552,245011
ENVAIREL,-7.5603867,47576000,272
KOTAKBANK,36.71335,1.47275E+12,171469
MAVIIND,-69.0184,866953088,4
KSBPUMPS,31.355719,21551249408,1117
LGBBROSLTD,0,0,3695
TRENT,11.86378,7467163136,4749
LAXMIMACH,0,0,5970
LICHSGFIN,17.352497,2.89424E+11,301296
LML,-0.81380755,637837888,82263
LOKHSG,-3.6269429,196347056,42997
LUPIN,27.042473,6.95773E+11,101003
LYKALABS,0,0,34231
RAMCOCEM,0,0,15252
MAFATIND,28.009747,6210502656,52514
MAHSEAMLES,166.93182,15542035456,6470
MAHSCOOTER,16.527485,16692613120,1260
MAJESAUT,10.82218,1176996992,7590
MANALIPETC,0,0,190938
MFSL,0,0,173784
MIDINDIA,0,0,162
MIRCELECTR,0,0,97128
CENTENKA,9.641676,5732505088,37567
LORDSCHLO,11.073657,1115575424,2233
SPICEJET,12.160853,37615484928,4926699
MOREPENLAB,84.82143,8463170048,411238
MRF,11.581592,1.8268E+11,1425
HEIDELBERG,0,0,59063
NCC,0,0,778939
VEDL,0,0,1430969
NAHARSPING,0,0,23527
NATPEROX,26.057634,4807078400,2357
GRASIM,19.249367,4.53748E+11,16865
NEPCMICON,0,0,9958
PEL,0,0,21229
ABIRLANUVO,0,0,103577
NIITLTD,0,0,340704
JAYKAY,0,0,30723
NIRLON,44.606625,19415922688,21585
ONGC,15.384615,2.17309E+12,702484
OILCOUNTUB,0,0,32583
ORIENTHOT,-381.88406,4706083840,6790
ORIENTBANK,0,0,557075
OSWALAGRO,0,0,38542
INDSUCR,5.616438,253573520,1783
PANCM,7.1185446,971497792,34648
RELIANCE,0,0,319605
PILITA,0,0,94215
PENTAGRAPH,-0.5939789,302968992,160197
RAYMOND,34.820297,32053106688,25762
PIDILITIND,48.024445,3.62666E+11,57396
PIXTRANS,18.397213,719410560,5026
BIRLACORPN,0,0,43923
SURYAROSNI,14.350283,8897438720,73929
PRIMESECU,0,0,41608
PRISMCEM,1547.857,54538727424,95497
RAIN,9.147047,15942800384,198778
PDUMJEPULP,0,0,18559
PUNJCOMMU,-4.500574,471325120,6573
RSWM,0,0,9206
RAJSREESUG,0,0,36668
RALLIS,15.612648,42248388608,47688
RAMANEWS,0,0,24049
RAMAPPR-B,-0.91509914,173965136,0
RAMAPETRO,0,0,175
RAPICUT,24.759258,359067392,12265
RMGALLOY,0,0,15714
ROLTA,5.4690266,10055107584,143415
RUBFILA,20.527779,1596886656,13239
RUCHISOYA,-0.7236842,6798955520,98529
SALORAINTL,0,0,2656
SAMTELIN,-428.5714,42527640,46
SAMTEL,-0.07402032,43145284,852
JINDALSAW,0,0,251211
JKLAKSHMI,367.44095,54910705664,20067
SHREECEM,96.237946,5.83722E+11,1885
SKPMIL,5.7012196,134502864,49
RELINFRA,7.927544,1.56532E+11,399150
SOLCT,0,0,10152
STEELCO,-3.1548858,258350128,19707
TATAPOWER,28.058607,2.07175E+11,485052
SPMLINFRA,0,0,22174
SUNDRMFAST,52.22222,64194105344,75382
SUNFLAG,0,0,68712
SUPPETRO,0,0,34438
SWARAJENG,29.384857,15039756288,2166
TATAELXSI,31.213669,48321814528,53188
ACC,53.669815,3.09441E+11,32613
THERMAX,38.621807,1.06353E+11,19473
TIRUMALCHM,0,0,49585
THOMASCOOK,-152.34616,72577204224,80463
TIMEX,-36.2,4567987712,162694
TOKYOPLAST,0,0,11027
TORNTPHARM,0,0,19398
TRANSCHEM,0,0,3011
AMBUJACEM,0,0,193841
UTLINDS,0,0,437
UNIPHOS,42.51179,5014252032,26480
VHL,0,0,768
HINDALCO,113.385826,2.97359E+11,1251935
WSTCSTPAPR,0,0,88293
HOCL,0,0,52357
MPILCORPL,-21.17647,26749804,5
PASUPTAC,9.851191,2950305536,231905
KORE,0,0,936
PGHH,0,0,2232
MUKANDLTD,-121.69812,9120687104,87733
AGCNET,0,0,12274
UCALFUEL,25.735714,3983764992,59543
